Points Label,Spine Label,Cluster Center x (nm),Cluster Center y (nm),# Subunits,Area (micron^2),Max Dark Time (s)
GluA1,0,5693.144924586467,135.67591023883836,3.706520547945196,0.6306753348726774,1592.9
GluA1,1,3599.4627478689276,591.7616984407049,3966201953782983.0,0.02127616797073019,1670.3
GluA1,2,9289.794098394124,1139.18198659859,0.6116370541163705,0.26620904961149144,885.0999999999999
GluA1,3,49238.88742878541,4161.5773496340025,5.399425287356304,0.3619710542355742,297.5
GluA1,4,11085.771261672275,5128.886258112426,9.715974145890986,0.7800748994682354,223.79999999999995
GluA1,5,6275.2322524523115,6176.471147687545,1.8262548756314319,0.25890427210050637,523.5000000000001
GluA1,6,7400.955602828453,7917.26313437211,1.0942595673876874,0.1375286917723045,1017.6999999999999
GluA1,7,44413.89606102103,8238.877173632109,6.450100483406633,0.42300191808317517,412.4000000000001
GluA1,8,15571.748576880876,8799.41100134894,3.111078646213775,0.5435014261068574,665.3000000000002
GluA1,9,8875.503233252324,9700.596166650674,2.5851353372214705,1.0794847382919552,642.9000000000001
GluA1,10,14995.619876874764,10331.88535541968,4.859692228113267,0.6077268275454714,406.5
GluA1,11,48109.51334507319,10841.122079043333,18.686403828149167,0.7589038187088525,211.30000000000007
GluA1,12,42665.91526982555,10781.991942372944,1.6241569519476808,0.40492943641832063,553.1000000000001
GluA1,13,45125.65088898205,12485.615982652871,14.573622921518583,0.659512044328412,165.3
GluA1,14,14903.966433258975,12900.209554503655,32.465841895575586,0.77166813104502,88.10000000000014
GluA1,15,15861.329317562582,13429.134188437523,23.973345965576787,0.47879632322963706,166.70000000000005
GluA1,16,46418.58312049125,13398.408998708956,4.793531120095651,0.5262106171108433,227.0000000000001
GluA1,17,15296.266174123059,15561.971047619467,4.67458045145031,0.4310031275333833,293.70000000000005
GluA1,18,11979.769933109934,15686.313331625983,3.4971078094432317,0.36465157247551777,301.4
GluA1,19,15954.385821217453,16230.50969595767,15.824759591051725,0.6805128890315781,155.29999999999995
GluA1,20,48564.12814376163,18201.81453899963,23.274274575326874,0.9215367203557987,304.79999999999995
GluA1,21,12342.788221961555,19379.023424850526,11.581935774140854,0.6583507489187475,223.89999999999998
GluA1,22,44766.76331500202,19704.41203708301,30.568022353305864,0.8237503526902458,96.5
GluA1,23,46983.31412898802,19634.400689849725,6.1586889432797465,0.5181933620562488,484.9
GluA1,24,13077.64746943312,20899.340777240504,27.323951120162928,0.8569675092243576,83.89999999999998
GluA1,25,48056.1105836879,20988.397590840756,4.378859758635027,0.2835691901792662,454.60000000000014
GluA1,26,11544.651940825026,21331.611517230598,0.5126875852660299,0.2998530178884724,614.5
GluA1,27,43879.040988408844,21605.040609558437,20.580034227039103,0.8227375163630859,119.20000000000005
GluA1,28,19142.91533545514,22673.177183748834,12.428031496062896,0.2677090356231077,671.3000000000001
GluA1,30,12373.025046211662,26141.261562184554,1.9157586184923192,0.24605515735648997,747.2
GluA1,32,45516.5418546367,26390.14594816336,10.722158474181974,0.6100358248823275,186.0999999999999
GluA1,34,18477.11312028279,27870.512713192125,0.7087223008015083,0.4739675413680981,768.0
GluA1,36,12269.462863417937,29331.567421787528,2.6639765523822465,0.38470818366952453,421.30000000000007
GluA1,37,19149.69148480947,29114.19467411916,3.8306032950100657,0.6280373941437728,491.5
GluA1,38,13591.62897115491,29347.88821362612,2.68109393579072,0.2637027681720633,953.6
GluA1,40,41942.59537037714,35117.54277407667,2.8623294192319966,0.20788775040293275,1387.9
GluA1,41,42942.15127424827,36032.54773997549,2.5850386930352496,0.7719532478545127,362.5999999999999
GluA1,42,21661.79574582942,36177.80558373361,6.939459981748857,0.4894010503997826,328.4
